game_info,boxscore_url,Away_Team,Home_Team,Temp_C,Game_Time
Hanwha Eagles Doosan Bears 29° 7:00pm Seoul-Jamsil Starters: Wang Yan-cheng vs. Gwak Been KT Wiz NC Dinos 26° 7:00pm Changwon Starters: Allen vs. Thompson LG Twins Kiwoom Heroes 30° 7:00pm Seoul-Gocheok Starters: Carrasco vs. An Woo-jin Lotte Giants SSG Landers 30° 7:00pm Incheon-Munhak Starters: Beasley vs. Ávila Samsung Lions Kia Tigers 30° 7:00pm Gwangju Starters: Chris Paddack vs. Oller,,SSG Landers,LG Twins,29.0,7:00pm
Hanwha Eagles Doosan Bears 29° 7:00pm Seoul-Jamsil,,Doosan Bears,Hanwha Eagles,29.0,7:00pm
Hanwha Eagles Doosan Bears,,Doosan Bears,Hanwha Eagles,,
KT Wiz NC Dinos 26° 7:00pm Changwon,,KT Wiz,NC Dinos,26.0,7:00pm
KT Wiz NC Dinos,,KT Wiz,NC Dinos,,
LG Twins Kiwoom Heroes 30° 7:00pm Seoul-Gocheok,,LG Twins,Kiwoom Heroes,30.0,7:00pm
LG Twins Kiwoom Heroes,,LG Twins,Kiwoom Heroes,,
Lotte Giants SSG Landers 30° 7:00pm Incheon-Munhak,,SSG Landers,Lotte Giants,30.0,7:00pm
Lotte Giants SSG Landers,,SSG Landers,Lotte Giants,,
Samsung Lions Kia Tigers 30° 7:00pm Gwangju,,Kia Tigers,Samsung Lions,30.0,7:00pm
Samsung Lions Kia Tigers,,Kia Tigers,Samsung Lions,,
Kia Tigers LG Twins Canceled Extreme Heat Lotte Giants KT Wiz Canceled Extreme Heat Doosan Bears Samsung Lions Canceled Extreme Heat SSG Landers NC Dinos Canceled Extreme Heat Kiwoom Heroes Hanwha Eagles Canceled Extreme Heat,,SSG Landers,LG Twins,,
Kia Tigers LG Twins Canceled Extreme Heat,,LG Twins,Kia Tigers,,
Lotte Giants KT Wiz Canceled Extreme Heat,,KT Wiz,Lotte Giants,,
Doosan Bears Samsung Lions Canceled Extreme Heat,,Doosan Bears,Samsung Lions,,
SSG Landers NC Dinos Canceled Extreme Heat,,SSG Landers,NC Dinos,,
Kiwoom Heroes Hanwha Eagles Canceled Extreme Heat,,Hanwha Eagles,Kiwoom Heroes,,
