Date,Away_Team,Home_Team,Away_Score,Home_Score,Home_Win,Away_L10,Home_L10,L10_Diff,Away_Pitcher_ERA,Home_Pitcher_ERA,ERA_Diff,Away_Lineup_OPS,Home_Lineup_OPS,OPS_Diff,Away_Bullpen_ERA,Home_Bullpen_ERA,Bullpen_ERA_Diff
2025-2026,Hanwha Eagles,LG Twins,1,3,1,0.5,0.5,0.0,4.6,3.44,-1.1599999999999997,0.785,0.777,-0.008000000000000007,4.39,4.74,0.35000000000000053
2025-2026,NC Dinos,Doosan Bears,5,4,0,0.5,0.5,0.0,4.09,3.65,-0.43999999999999995,0.685,0.731,0.04599999999999993,4.0,3.81,-0.18999999999999995
2025-2026,LG Twins,Kiwoom Heroes,1,3,0,1.0,0.5,-0.5,4.72,4.7,-0.019999999999999574,0.792,0.757,-0.03500000000000003,4.39,3.63,-0.7599999999999998
2025-2026,Kiwoom Heroes,NC Dinos,6,7,1,1.0,1.0,0.0,5.42,4.59,-0.8300000000000001,0.821,0.832,0.01100000000000001,4.68,4.2,-0.47999999999999954
2025-2026,Doosan Bears,SSG Landers,4,3,1,0.0,0.5,0.5,4.01,4.08,0.07000000000000028,0.765,0.766,0.0010000000000000009,4.33,4.08,-0.25
2025-2026,KT Wiz,LG Twins,4,2,1,0.5,0.5,0.0,4.01,4.19,0.1800000000000006,0.853,0.758,-0.09499999999999997,4.33,3.88,-0.4500000000000002
2025-2026,LG Twins,KT Wiz,7,1,1,0.3333333333333333,1.0,0.6666666666666667,5.46,5.12,-0.33999999999999986,0.694,0.673,-0.020999999999999908,3.81,4.69,0.8800000000000003
2025-2026,LG Twins,Hanwha Eagles,7,3,1,0.5,0.0,-0.5,4.81,3.63,-1.1799999999999997,0.665,0.8,0.135,3.84,4.87,1.0300000000000002
2025-2026,LG Twins,Doosan Bears,3,4,0,0.6,0.5,-0.09999999999999998,3.82,4.54,0.7200000000000002,0.633,0.794,0.16100000000000003,3.32,4.26,0.94
2025-2026,Doosan Bears,Hanwha Eagles,4,3,0,0.6666666666666666,0.0,-0.6666666666666666,4.63,3.94,-0.69,0.83,0.885,0.05500000000000005,5.52,5.23,-0.28999999999999915
2025-2026,KT Wiz,Lotte Giants,3,7,0,0.5,0.5,0.0,3.83,3.93,0.10000000000000009,0.779,0.737,-0.04200000000000004,3.43,3.4,-0.03000000000000025
2025-2026,NC Dinos,SSG Landers,4,7,0,1.0,0.0,-1.0,3.83,4.98,1.1500000000000004,0.737,0.768,0.031000000000000028,3.81,4.06,0.24999999999999956
2025-2026,Lotte Giants,Doosan Bears,7,10,0,1.0,0.75,-0.25,4.39,4.76,0.3700000000000001,0.757,0.77,0.013000000000000012,3.8,3.7,-0.09999999999999964
2025-2026,Samsung Lions,Kiwoom Heroes,6,5,0,0.5,0.5,0.0,2.67,4.75,2.08,0.672,0.85,0.17799999999999994,4.93,2.89,-2.0399999999999996
2025-2026,Doosan Bears,Kiwoom Heroes,1,6,0,0.8,0.3333333333333333,-0.46666666666666673,2.82,5.14,2.32,0.887,0.749,-0.138,4.09,4.14,0.04999999999999982
