Date,Away_Team,Home_Team,Away_Score,Home_Score,Home_Win
2025-2026,Hanwha Eagles,LG Twins,1,3,1
2025-2026,NC Dinos,Doosan Bears,5,4,0
2025-2026,LG Twins,Kiwoom Heroes,1,3,1
2025-2026,Kiwoom Heroes,NC Dinos,6,7,1
2025-2026,Doosan Bears,SSG Landers,4,3,0
2025-2026,KT Wiz,LG Twins,4,2,0
2025-2026,LG Twins,KT Wiz,7,1,0
2025-2026,LG Twins,Hanwha Eagles,7,3,0
2025-2026,LG Twins,Doosan Bears,3,4,1
2025-2026,Doosan Bears,Hanwha Eagles,4,3,0
2025-2026,KT Wiz,Lotte Giants,3,7,1
2025-2026,NC Dinos,SSG Landers,4,7,1
2025-2026,Lotte Giants,Doosan Bears,7,10,1
2025-2026,Samsung Lions,Kiwoom Heroes,6,5,0
2025-2026,Doosan Bears,Kiwoom Heroes,1,6,1
2025-2026,LG Twins,Lotte Giants,4,6,1
2025-2026,NC Dinos,KT Wiz,4,1,0
2025-2026,LG Twins,Samsung Lions,3,4,1
2025-2026,Samsung Lions,LG Twins,3,4,1
2025-2026,Samsung Lions,NC Dinos,4,2,0
2025-2026,LG Twins,Doosan Bears,3,4,1
2025-2026,Kiwoom Heroes,Doosan Bears,4,3,0
2025-2026,Lotte Giants,Samsung Lions,3,8,1
2025-2026,Lotte Giants,NC Dinos,5,4,0
2025-2026,Kiwoom Heroes,Kia Tigers,7,6,0
2025-2026,NC Dinos,Lotte Giants,1,5,1
2025-2026,Samsung Lions,SSG Landers,2,3,1
2025-2026,NC Dinos,Lotte Giants,7,5,0
2025-2026,Lotte Giants,Kiwoom Heroes,7,3,0
2025-2026,LG Twins,SSG Landers,8,6,0
2025-2026,Kia Tigers,Doosan Bears,2,4,1
2025-2026,Hanwha Eagles,Lotte Giants,7,5,0
2025-2026,LG Twins,Doosan Bears,7,5,0
2025-2026,SSG Landers,KT Wiz,6,9,1
2025-2026,Lotte Giants,NC Dinos,6,5,0
2025-2026,LG Twins,Kia Tigers,7,3,0
2025-2026,Samsung Lions,KT Wiz,4,0,0
2025-2026,LG Twins,Lotte Giants,6,5,0
2025-2026,Lotte Giants,Hanwha Eagles,3,6,1
2025-2026,Kia Tigers,NC Dinos,6,2,0
